Deal ID,Created Date,Lead Source,Company Name,Contact Email,Country,Industry,Lifecycle Stage,Deal Amount,Sales Rep,Close Date
D-10088,06-04-2025,Partner Referral, Atlas Construction,nadia.98@atlasconstruct.com,USA,Education,lead,"$ 8,200.00",Serkan Saricam,
D-10260,2025-04-26,web form,Crestview Manufacturing,claire.2@crestviewmanuf.com,US,Manufacturing,closed lost,0,amine bekkali,"Jul 30, 2025"
D-10064,2025-05-12,Google-Ads, Precision Manufacturing,rita.61@precisionmanuf.com,United States,healthcare,CUSTOMER,N/A,Sarah O'Connor,"May 30, 2025"
D-10391,03/18/2025,Google-Ads,VILLE DE SAINT-LAURENT,MARC.10@VILLEDESAINT-L.COM,US,Mining,mql,8200,serkan saricam,
D-10409,11/11/2025,googleads,meridian bank,TOM.86@MERIDIANBANK.COM,US,Retail,SQL,"8,200",Maciek Marchlewski,
D-10105,06/10/2025,Email,Laurentide Foods,luc.83@laurentidefood.com,CAN,Government,Opportunity,"$ 15,500.00",M. Marchlewski,
D-10370,05/16/2025,Trade Show,Beaumont Retail Group,,United States,Construction,lead,$0,Julie Tremblay,
D-10309,01/21/2025,Event,Terra Mining Corp,Rita.23@Terraminingcor.Com,us,Government,closed lost,"$85,000",serkan saricam,2025-04-28
D-10223,2025-10-03,facebook ads,Collège Lasalle,Yanis.34@Collegelasalle.Com,US,Logistics,mql,"$62,000",amine bekkali,
D-10230,"Jun 22, 2025",tradeshow,Northstar Bank,tom.42@northstarbank.com,CA,Retail,Lead,48000 $,David Chen,
D-10005,"Jun 30, 2025",LinkedIn Ads,Optima Clinics ,Julie.74@Optimaclinics.Com,USA,Healthcare,closed lost,"$ 8,200.00",D. Chen,2025-07-28
D-10209,2025-06-20,Google-Ads, Granite Mining,claire.26@granitemining.com ,USA,banking,closed lost,"$ 15,500.00",Sarah OConnor,"Aug 08, 2025"
D-10172,"Jul 05, 2025",Trade Show,Cedarwood Properties,luc.58@cedarwoodprope.com ,Canada,Energy,opportunity,12000 $,Sarah O'Connor,
D-10025,03/26/2025,LinkedIn,Summit Healthcare,Sarah.86@Summithealthca.Com,US,Government,customer,$0,M. Marchlewski,"May 10, 2025"
D-10414,2025-03-30,linkedin,Northstar Bank ,Nadia.48@Northstarbank.Com,CA,Mining,M.Q.L,0,Amine Bekkali,
D-10385,"Nov 05, 2025",Direct,Boreal Energy ,luc.62@borealenergy.com ,CA,Banking,Lost,"21,000",M. Marchlewski,03/15/2026
D-10013,2025-03-06,LINKEDIN , Atlas Construction,Nadia.78@Atlasconstruct.Com,canada,Education,Lost,21000 $,julie tremblay,17-07-2025
D-10388,04/28/2025,REFERRAL, Blue Harbour Shipping,Tom.52@Blueharbourshi.Com,canada,Healthcare,Customer,85000,Serkan Saricam,"Sep 25, 2025"
D-10354,"Nov 03, 2025",web form, Blue Harbour Shipping,ahmed.9@blueharbourshi.com,United States,Retail,lead,"$4,500",serkan saricam,
D-10164,2025-11-21,LinkedIn,Blue Harbour Shipping,marc.5@blueharbourshi.com,United States,retail,Opportunity,"$ 48,000.00",Amine Bekkali,
D-10050,10/18/2025,Direct, Rivière Construction,LUC.84@RIVIERECONSTRU.COM,us,Banking,CUSTOMER,0,Maciek Marchlewski,2025-12-08
D-10112,10-08-2025,Google Ads,ALPINE LOGISTICS,RITA.92@ALPINELOGISTIC.COM,US,Manufacturing,Lost,"$21,000",D. Chen,12/02/2025
D-10415,10/11/2025,EMAIL,vertex industries,julie.72@vertexindustri.com ,CA,healthcare,Lead,"$62,000",Serkan Saricam,
D-10108,04/12/2025,LinkedIn,cedarwood properties,NADIA.21@CEDARWOODPROPE.COM,CAN,construction,Opportunity,"$62,000",M. Marchlewski,
D-10076,07/11/2025,Google Ads,boreal energy,,US,Healthcare,SQL,15500 $,David Chen,
D-10179,11/02/2025,Facebook,boreal energy,marc.39@borealenergy.com ,us,Energy,Lead,"$48,000",Amine Bekkali,
